[724.1444138529133, 1678.3102988184587][421.22904609567763, 802.8827669278296]
[855.5298301640412, 835.8485451039293][427.51628613579925, 417.3547109504731]
[585.3663708746851, 591.5595041358755][274.8455676403265, 288.7596982657192]
[511.93625219503906, 612.668122253607][242.81878735536426, 357.82067007451343]
[1085.9702083772804, 1767.4712070046987][628.1432543855195, 863.2948143114237]
[928.0830744855883, 1732.8336381797487][518.1021023534857, 824.2742628704683]
[629.3754326104747, 634.6927456827577][345.05896256962404, 356.77439431261075]
[674.2235412411845, 675.3290214902011][337.43414655645125, 349.09974072782927]
[669.9850808435825, 760.121780918661][306.6396019490214, 408.62806144889856]
[878.7681313325206, 894.5693051208673][393.0916579345296, 417.4902019279364]
[758.9240702297215, 1769.4594537003516][474.5263957730756, 875.3697493928548]
[622.6899599638035, 621.5677003103563][295.8999179923919, 288.4251587978341]
[682.0745362988877, 695.3111974406606][360.38779510995136, 336.1685466368139]
[1775.564346870256, 1024.3243125690644][860.7386203900794, 591.0760190981608]
[500.4543309957584, 425.0329548654337][285.7123574796227, 215.01018048558473]
[1285.5450398867322, 1003.746093251425][534.0818190464653, 566.4944888716276]
[813.5298824542272, 718.3510207876792][383.030934349109, 328.1815660953933]
[807.951691040851, 686.5172308825817][392.59440538891795, 288.67804227560515]
[1081.319781386055, 863.7630405179651][527.2114673740456, 346.7596234020303]
[774.1192083667662, 727.6392614892234][387.35155569772115, 328.0482915345293]
[631.144362891846, 733.5296885950338][292.0042662123449, 410.118040192928]
[686.9414770032663, 732.3569831433493][312.4102835689888, 328.14686121085043]
[830.2695251875283, 711.7339418881814][365.60241657811827, 289.09378976828043]
[939.0515266098682, 870.4760256398619][438.624834245316, 346.9604525050727]
[1183.6076909211567, 732.2516817722691][533.1685731918136, 398.429716581858]
[695.5758016527607, 624.3270583726187][361.1559063542946, 302.82857235631946]
[1204.7806182540826, 926.2656815919225][584.1120575969929, 346.96110995200434]
[599.2232351727575, 737.163495618918][248.83013982018804, 407.54061541298216]
[1057.6502132501064, 770.1751888333946][486.1323486999454, 288.2480829813023]
[956.4409855697194, 757.175479734629][420.25368910846254, 289.75137039247704]
[1499.9384396248713, 862.7359250177985][630.0023142311428, 511.5221084152814]
[0.0, 1459.2669995973426][160.4000000000012, 594.6537521550914]
[446.0479733681763, 1467.77343361578][342.0849340705129, 634.5055266766435]
[658.0042303312185, 518.9932362464997][360.4248673790051, 240.0091899845868]
[1254.1254141344627, 536.0277874183257][532.9581267512501, 314.788345111791]
[793.9382672534286, 801.0787451856899][332.0693964709281, 347.6455991703798]
[437.605332173556, 721.8820872658752][159.0942663083935, 409.42485968355413]
[941.2069413141808, 818.25657575081][452.48664926346675, 347.10289522826156]
[961.8698899993633, 859.8949841309322][417.9122983145368, 348.5980098785991]
[0.0, 1388.672291076544][160.4000000000012, 584.1537379490203]
[671.6338092923975, 640.1410477288666][269.950219141353, 287.9794863464653]
[1013.4629952089003, 866.8160352905888][459.0858435587246, 346.70379726460055]
[1064.032570863534, 890.571496631381][516.0192799771731, 346.96048245569875]
[622.1479817276227, 1473.7900919293397][416.0782947473628, 626.4454723058234]
[0.0, 1453.4494093807964][160.4000000000012, 578.9889397412317]
[489.390262169742, 705.8261824118224][190.93241639634647, 407.75194248552503]
[476.17625139402537, 349.302966673387][283.4455139430019, 155.7072170590425]
[1153.3069785792704, 917.5697815741579][533.1385130379816, 347.25380455543836]
[0.0, 1402.402871778559][160.4000000000012, 615.5847412167045]
[1328.9521181283965, 137.15814254990764][543.755919673438, 204.6745841820539]
[0.0, 1334.3578135597454][160.4000000000012, 527.9065595303726]
[1039.0931898468582, 897.6688499207088][467.2300605996773, 346.6300755338447]
[472.1958534998296, 307.3277662715137][286.06608441169993, 130.51683631332554]
[833.5631670121086, 1050.7023824174673][413.8851165385458, 377.06323862220296]
[0.0, 1323.969714560958][160.4000000000012, 507.5464130143838]
[422.037468349617, 1005.3559527616711][267.6394192716753, 377.2890012598127]
[607.3744814805515, 934.4742550168946][308.97335232880476, 365.4966508403694]
[1064.4603911882566, 926.4187449251111][511.0384443416051, 417.22409455456386]
[755.7395518246994, 773.4920347625933][317.289521390873, 327.9834602740254]
[660.1307319422436, 730.657963985156][281.4934323407081, 329.0619614805787]
[458.89992962532114, 358.132158644254][284.8862108129822, 170.35395836819612]
[683.8171374173863, 801.9491575645108][297.13143898934345, 407.316926834506]
[483.90928300336805, 1189.1954949630112][241.46330881067527, 481.1536661054757]
[1301.3048725371318, 0.0][508.93781896774453, 160.4000000000012]
[697.6483976414784, 809.0594775097397][313.0157779579308, 307.75612854346315]
[536.3589643652946, 1263.1414246603388][293.5634193618856, 463.948702881127]
[398.5547969432732, 907.2994446726718][209.18553026344387, 377.16406660912816]
[0.0, 1208.0284083892407][160.4000000000012, 446.6310675021543]
[775.9476339248441, 904.491657914531][301.01869602871903, 406.99458148471376]
[498.2538029901659, 1114.8608716434428][289.931680774826, 402.1931531809556]
[478.6923028825205, 387.67256050104305][283.4449468078481, 181.2650463267992]
[863.0224230570847, 875.6030394852346][413.3810885492434, 417.36104200689726]
[750.0064128346067, 921.6480221961846][293.32192016866, 406.76716989170825]
[471.8669886696754, 787.0580278645687][218.0233372320292, 327.40317821383707]
[1265.1740490426857, 723.1973646797773][533.0381333453277, 363.3793385511445]
[682.804779715931, 501.0663607327128][362.07075192052514, 205.39038839730208]
[690.0994506393623, 763.370308713764][264.68840776649665, 346.76801384393525]
[1026.3660323091667, 973.7789878239716][464.2805603652006, 407.09002508228747]
[562.964259444664, 614.0140454405331][243.65715683148227, 288.49684682214496]
[810.2673168086139, 871.8052861436611][392.06996221469103, 416.8518338097698]
[1294.8096373819842, 0.0][498.21385604947625, 160.4000000000012]
[552.6321933566578, 635.2142255759607][282.8250104374446, 347.9833939111229]
[935.202572079262, 736.9967394447816][395.07497251634385, 335.1060508990609]
[1192.7544163112345, 1048.2639055676996][575.4097542849529, 407.6604448546722]
[167.01436166365747, 571.7032958412044][128.3489102797214, 328.5897577326902]
[331.64415811822886, 520.6355542859135][212.09003018599623, 306.9753348920414]
[628.5648105156927, 844.8772042679991][265.3449842248744, 419.5308999829275]
[787.5042529936878, 1042.8225193509318][382.64842481765186, 482.2800193635918]
[514.5373102428017, 398.7615203336606][300.74558122983365, 179.1856613961218]
[713.3433218402157, 663.366042545965][360.6325449127278, 307.94912413792]
[421.73349598859954, 770.2473783504095][248.77056342333603, 377.7859053744949]
[289.260777839887, 742.594726430477][188.54585570040643, 380.5267813666991]
[1303.7039432504791, 0.0][559.8808709169455, 160.4000000000012]
[0.0, 1343.3766087731356][160.4000000000012, 530.9930819483019]
[1340.570635028051, 908.7510745398687][533.0056757049056, 479.63417666779526]
[92.7772126271254, 1247.4773076376366][189.19632649752566, 542.5724477787843]
[485.9281832340275, 407.27093189426455][302.31113903701385, 202.05160531293635]
[886.4331787686161, 847.5936661865896][339.2407036268713, 321.7412479327509]
[689.258118221499, 668.6912872919054][360.2855123986969, 343.33803530231114]
[589.9074545080678, 680.5057659184249][251.13618218414317, 358.0371157029048]
[1304.705217145157, 682.5821129839768][532.3882686961883, 387.2612015834423]
[325.1054502367493, 614.5230681705661][202.30622108526066, 327.0961812378761]
[196.17160380584403, 623.6206660529613][149.73133760517263, 373.45958922450814]
[432.5009954932316, 605.6724707255746][174.61909655088542, 289.8769577884902]
[554.3486199502703, 659.2454379390093][235.95872482699514, 357.2302764979717]
[778.9152695531727, 1088.9499106320868][404.69868968825324, 375.9759759993565]
[362.2866893222695, 514.090304366867][230.63942700933583, 308.0331032247516]
[494.50427501090945, 408.984760377847][302.0581709149788, 193.41978058855227]
[293.9057949104907, 615.4713213055784][162.21758553337582, 371.0631817778327]
[738.5845764429806, 1076.6521556282723][359.75510262964, 481.45545900186846]
[0.0, 1013.1447799196396][160.4000000000012, 360.58963903157985]
[0.0, 1195.3186391328966][160.4000000000012, 512.9134030446949]
[478.3517822702973, 1101.81368818061][320.1197358629346, 409.0569641264682]
[544.9886211107897, 676.624502832845][220.12600387277072, 346.6531843660127]
[407.5898181723882, 617.5047137668555][164.00396966552626, 289.7696522747159]
[1107.9201903302974, 933.7154974081333][452.88192476502104, 342.4484800113806]
[1128.617566668476, 1019.0119729111583][449.4525711902272, 374.0690024851275]
[737.7870712714962, 923.8090552702216][337.4586411418451, 345.19678087783194]
[1203.9720997864122, 1088.209562046968][484.48843238397546, 407.11162780725056]
[950.411730525243, 251.63285511944144][324.60992280957316, 240.611253569565]
[745.9157122686479, 589.3981284435009][362.7292639810648, 262.26383131523966]
[367.66685349049135, 604.7979120337742][126.45715669509156, 288.74379070614924]
[545.867622089463, 729.5645341214622][240.5481518775865, 329.1138502321446]
[786.7871623995861, 595.7024527660739][361.91253538775476, 252.0931480700796]
[986.0159341976643, 0.0][385.6685422202079, 160.4000000000012]
[82.75459227869598, 856.656743908135][195.84962335501672, 289.41333178378244]
[793.6203274330963, 876.9219168123659][332.8829917108923, 319.9809801078836]
[1030.4389031376024, 0.0][389.4986770534036, 160.4000000000012]
[776.4114406194032, 1069.9539177843221][334.40915568855763, 377.4183490298973]
[516.2250026837947, 688.3133326327713][221.7845272642565, 327.8979578077252]
[479.0017705589225, 814.1523681089573][260.8967409117838, 281.2451813901676]
[1275.010747656255, 380.7232112315329][483.8485822148082, 257.7363621442116]
[655.2142628896036, 887.7241540778742][254.5278852962559, 364.28259871366043]
[916.8061183827836, 1056.886048463372][352.0712741169369, 407.1645971494216]
[379.9257606179068, 951.9456722449953][231.01887876430285, 340.58742788314606]
[0.0, 981.9003679159555][160.4000000000012, 367.5510726736768]
[655.4131580988765, 798.6941038343871][269.1894957035514, 356.5543182660075]
[820.8296981812849, 850.8248723953546][295.2041378473856, 302.8238684620826]
[886.5958435107887, 300.2379605175171][314.1406352368766, 228.72648760639527]
[420.63593956449074, 643.8197168064443][178.58188106355087, 288.4227003294806]
[959.1933746892863, 961.5132693882276][341.2855634386152, 361.84703171445744]
[678.0391844064926, 0.0][228.5846164166042, 160.4000000000012]
[740.6543373383407, 0.0][262.0557044870702, 160.4000000000012]
[177.56167786040342, 871.190484551984][180.57578428830615, 342.51568659297004]
[348.6233648291906, 908.4910379183747][216.0874128527241, 347.65780654150313]
[901.5224871888031, 0.0][314.8080017997921, 160.4000000000012]
[363.7050801675544, 731.3761746073505][144.89698588989552, 370.8265873760913]
[884.1276754884868, 537.32126216478][311.6660570223784, 249.29118045733594]
[740.2677225097788, 509.9328920263513][267.32857529897274, 221.4847326761202]
[782.4407272582139, 0.0][258.2622449263475, 160.4000000000012]
[703.5361962314197, 0.0][238.74053584353416, 160.4000000000012]
[576.7989928684357, 828.1714718883974][230.0065428234177, 306.9357331387357]
[0.0, 876.7095241541091][160.4000000000012, 321.6067228005842]
[4.251657869480614, 718.1394151672317][160.4917426902268, 250.03902780169025]
[632.831346277293, 790.0874991085353][269.74317528680075, 356.5442388262811]
[508.47945231939406, 988.8127768943491][234.21541361118062, 361.34065654741005]
[368.8711481130609, 773.1263483634791][227.34927581013636, 266.0946193398841]
[590.482380699985, 864.2065122661498][223.6535422520101, 307.0631412118583]
[582.9330273590699, 893.821430284321][213.27335984862967, 346.6190060882452]
[0.0, 950.2512636605533][160.4000000000012, 342.6744738938646]
[885.8894116007499, 69.30693989738388][313.4495306638261, 168.16653435773108]
[496.6886077319215, 663.8474351552898][198.49555018573744, 287.83020784384973]
[423.1510372899332, 736.812289500028][226.39851497142578, 274.7535284434014]
[0.0, 949.7595832864308][160.4000000000012, 370.6710852976161]
[0.0, 742.8320497424884][160.4000000000012, 269.9209255411613]
[624.5644140244476, 541.3847512217196][225.8605125639642, 194.21521513271364]
[663.4978517418375, 0.0][226.36960741267657, 160.4000000000012]
[704.7924136376529, 418.06617138556305][241.66888868675423, 246.78479822590546]
[531.4086751299405, 0.0][196.24961300012566, 160.4000000000012]
[748.9670689616785, 839.4279098077965][250.44936028051984, 301.3915740007389]
[206.05895901385716, 751.277366119246][184.88121098140613, 269.2267564468356]
[903.0292423417507, 676.4053256640573][327.4255887206489, 242.07584345930474]
